"Plugin","Plugin Name","IP Address","NetBIOS Name","DNS Name"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.59","","xlwuw-121ndc.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.65","","xlwuw-121nc3.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.80","","xlwuw-1016fc.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.164","","xlwuw-1016fp.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.190","","xlwuw-1016hq.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.191","","xlwuw-10167r.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.197","","xlwuw-10169p.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.198","","xlwuw-1016jh.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.199","","xlwuw-101x95.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.222","","xlwuw-1016lq.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.223","","xlwuw-1016rn.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.224","","xlwuw-1016mn.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.65.227","","xlwuw-1016lr.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.66.124","","xlwuw-121ng3.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.66.125","","xlwuw-121ncl.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.66.135","","xlwul-121x6n.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.66.166","AREA52\52XLWUW3-350R2Z","52xlwuw3-350r2z.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.34","","xlwuw-1016bz.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.50","","xlwuw-121x8n.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.58","","xlwuw-1016fr.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.59","AREA52\XLWUW-1016PD","xlwuw-1016pd.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.63","AREA52\XLWUW-121X96","xlwuw-121x96.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.72","","xlwuw-1016cx.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.74","AREA52\XLWUW-1016FV","xlwuw-1016fv.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.84","AREA52\XLWUW-1016Q3","xlwuw-1016q3.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.105","","xlwuw-1016l2.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.106","AREA52\XLWUW-1016MG",""
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.108","AREA52\XLWUW-121X7Z","xlwuw-121x7z.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.110","AREA52\XLWUW-121X6C","xlwuw-121x6c.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.111","AREA52\XLWUW-1016B6","xlwuw-1016b6.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.115","","xlwuw-1016nl.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.116","","xlwuw-1016rp.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.117","AREA52\XLWUW-1016M6","xlwuw-1016m6.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.68.118","AREA52\XLWUW-1016H7","xlwuw-1016h7.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.97.52","","xlwuw-121n84.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.97.70","","xlwuw-201kh9.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.97.72","","xlwuw-431yxr.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.32","","xlwuw-10168x.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.56","","xlwuw-121n96.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.65","","xlwuw-121x83.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.80","","xlwuw-1016px.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.91","","xlwuw-1016p2.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.95","","xlwuw-1016jl.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.126","","xlwuw-1016pl.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.134","","xlwuw-121ngl.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.154","","xlwuw-1016pg.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.155","","xlwuw-121x5y.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.157","","xlwuw-121n83.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.158","","xlwuw-121x92.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.98.163","AREA52\XLWUL-A04139","xlwul-a04139.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.99.39","","xlwuw-121ngx.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.99.82","","52xlwuw3-ogr001.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.99.87","","xlwuw-121x7d.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.99.154","","xlwuw-ososk5.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.99.156","","xlwuw-121x7m.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.38","AREA52\52XLWUW3-AFAS19","52xlwuw3-afas19.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.49","","xlwuw-os1tr1.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.80","AREA52\52XLWUW3-AFAS16","52xlwuw3-afas16.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.94","AREA52\52XLWUW3-AFAS18","52xlwuw3-afas18.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.95","AREA52\52XLWUW3-AFAS17","52xlwuw3-afas17.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.131","AREA52\52XLWUW3-AFAS01","52xlwuw3-afas01.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.133","AREA52\52XLWUW3-AFAS03","52xlwuw3-afas03.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.134","AREA52\52XLWUW3-AFAS04","52xlwuw3-afas04.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.135","AREA52\52XLWUW3-AFAS05","52xlwuw3-afas05.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.136","AREA52\52XLWUW3-AFAS06","52xlwuw3-afas06.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.137","AREA52\52XLWUW3-AFAS07","52xlwuw3-afas07.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.138","AREA52\52XLWUW3-AFAS08","52xlwuw3-afas08.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.139","AREA52\52XLWUW3-AFAS09","52xlwuw3-afas09.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.140","AREA52\52XLWUW3-AFAS10","52xlwuw3-afas10.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.141","AREA52\52XLWUW3-AFAS11","52xlwuw3-afas11.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.142","AREA52\52XLWUW3-AFAS12","52xlwuw3-afas12.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.143","AREA52\52XLWUW3-AFAS13","52xlwuw3-afas13.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.144","AREA52\52XLWUW3-AFAS14","52xlwuw3-afas14.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.100.145","AREA52\52XLWUW3-AFAS15","52xlwuw3-afas15.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.129.41","AREA52\TYNMDGSGWK07703","tynmdgsgwk07703.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.130.65","","xlwuw-121n7y.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.130.72","","xlwuw-101687.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.130.77","","xlwuw-1016k6.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.130.90","","xlwuw-121x7y.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.130.125","AREA52\XLWUW-121X67","xlwuw-121x67.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.130.233","","xlwuw-121nd9.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.134.16","AREA52\TYNDALLNP-APP","tyndallnp-app.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.134.18","AREA52\TYNDALLNP_DB","tyndallnp_db.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.134.110","AREA52\TYNDALLPRIMARY","tyndallprimary.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.134.112","AREA52\TYNDALLDIGI1","tyndalldigi1.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.134.114","AREA52\TYNDALLDIGI2","tyndalldigi2.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.134.116","AREA52\TYNDALLDIGI3","tyndalldigi3.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.137.43","","xlwuw-121nfy.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.137.99","","52xlwul3-461r25.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.146.60","","xlwuw-121ngc.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.146.63","","xlwuw-121nc9.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.146.101","","xlwuw-121x52.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.146.103","","xlwuw-121x63.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.147.54","","xlwuw-370bft.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.148.18","","xlwuw-1016fk.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.148.19","","xlwuw-1016qt.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.148.25","","xlwuw-1016p9.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.148.29","","xlwuw-121ngw.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.148.32","","xlwuw-1016n5.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.148.34","","xlwuw-1016gf.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.148.35","","xlwuw-1016lm.area52.afnoapps.usaf.mil"
